,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
25,stellar,26,XLM,Stellar,27035444477.644234,50001806812.0,2585384670.4431233,30190780.956819918,0.0956294494281754,-5.121614423234812,0.097564833794048,https://dashboard.stellar.org/
26,cosmos,27,ATOM,Cosmos,248453201.0,,2313436084.1770024,31175052.40145986,9.311355518325572,-2.57891788937668,9.328477629199014,https://www.mintscan.io/
27,filecoin,28,FIL,Filecoin,434507824.0,,1910067266.8277707,73378719.5447743,4.3959329644378755,-4.699226898893155,4.441600223492891,https://protocol.ai
28,internet-computer,29,ICP,Internet Computer,437705269.02723217,,1793251052.9718595,7395557.24729993,4.096937322589761,-5.902961872184728,4.156523508071668,https://www.dfinityexplorer.org/#/
29,lido-dao,30,LDO,Lido DAO,879919120.4059602,1000000000.0,1670821379.3195543,4325772.553443307,1.8988351776566723,-10.48879583362789,1.9867852684859553,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
30,bitcoin-bep2,31,BTCB,Bitcoin BEP2,53813.43290312,,1620324078.4213357,216132017.066463,30110.02998709254,-3.287006692189087,30331.426043857926,https://explorer.binance.org/asset/BTCB-1DE
31,crypto-com-coin,32,CRO,Crypto.com Coin,25263013692.0,30263013692.0,1425096305.3703692,2362862.3642235002,0.0564103840794597,-3.1484141585135075,0.0570852794526922,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
32,vechain,33,VET,VeChain,72714516834.0,86712634466.0,1342774087.3209794,15923357.981198322,0.0184663825847375,-5.479124758269801,0.0186728901897176,https://explore.veforge.com/
33,near-protocol,34,NEAR,NEAR Protocol,929369483.0,,1256458180.1496682,18047969.223952603,1.351946887790879,-2.120486166541572,1.3349724152146196,https://explorer.nearprotocol.com/
34,quant,35,QNT,Quant,12072738.0,14881364.0,1245486840.8490553,6815846.520783444,103.16523400483432,-2.3366856736438333,103.93068993600136,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
35,the-graph,36,GRT,The Graph,9071866506.619026,,1063174926.1896017,25744163.547848742,0.1171947278340005,-3.5627857263103793,0.1188070635750425,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
36,aave,37,AAVE,Aave,14467853.29718569,16000000.0,1054140075.9733362,47299276.93598859,72.86084910595473,-5.967475749174819,72.81860410728945,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
37,maker,38,MKR,Maker,977631.03695089,1005577.0,970736501.7543774,68854010.77476984,992.9477124437294,-2.9867893668330714,1001.4556656295708,https://etherscan.io/token/Maker
38,stacks,39,STX,Stacks,1390247562.974699,1818000000.0,898098381.8405408,16522548.864007216,0.6459988895207185,-6.111378598909705,0.6584123492116083,https://explorer.xinfin.network/
39,algorand,40,ALGO,Algorand,7573046601.347409,10000000000.0,860356556.9514693,16370723.584317898,0.113607719883619,-6.1830064822656094,0.1154780756767329,https://algoexplorer.io/
40,bitcoin-sv,41,BSV,Bitcoin SV,19266076.64423905,21000000.0,829800694.9190398,11364000.740911271,43.070559213578505,-4.842145401919482,43.442990916855756,https://bsvexplorer.io/
41,elrond-egld,42,EGLD,MultiversX,24184559.18984154,31415926.0,824523829.9300181,4633115.567703026,34.092985671467204,-3.0223030718822006,34.032211894126554,https://explorer.elrond.com/
42,eos,43,EOS,EOS,1096070629.8016,,786500507.3386041,64911442.93125564,0.7175637098140005,-3.6539087052189547,0.7187804345060895,https://bloks.io/
